equipment_availability_id,equipment_id,availability,must_run,created_on,created_by
88,33,0,0,2025-02-21 13:49:40,2
89,34,1,0,2025-02-21 13:49:40,2
90,35,1,0,2025-02-21 13:49:40,2
91,36,1,0,2025-02-21 13:49:40,2
92,37,1,0,2025-02-21 13:49:40,2
93,38,1,0,2025-02-21 13:49:40,2
94,39,1,0,2025-02-21 13:49:40,2
95,40,1,1,2025-02-21 13:49:40,2
96,41,1,0,2025-02-21 13:49:40,2
97,42,1,0,2025-02-21 13:49:40,2
98,43,1,0,2025-02-21 13:49:40,2
99,44,1,0,2025-02-21 13:49:40,2
100,45,1,0,2025-02-21 13:49:40,2
101,46,1,0,2025-02-21 13:49:40,2
102,47,1,0,2025-02-21 13:49:40,2
103,48,1,0,2025-02-21 13:49:40,2
104,49,1,0,2025-02-21 13:49:40,2
105,50,1,0,2025-02-21 13:49:40,2
106,51,1,0,2025-02-21 13:49:40,2
107,52,1,0,2025-02-21 13:49:40,2
108,53,1,0,2025-02-21 13:49:40,2
109,54,1,0,2025-02-21 13:49:40,2
110,55,1,0,2025-02-21 13:49:40,2
111,56,1,0,2025-02-21 13:49:40,2
112,29,0,1,2025-02-21 14:04:09,30757749
113,29,1,1,2025-02-21 14:05:22,30757749
114,29,1,0,2025-02-21 14:07:39,30757749
115,30,1,1,2025-02-21 14:07:39,30757749
118,1,0,0,2025-02-21 14:24:35,30768424
119,1,1,0,2025-02-21 14:29:10,30768424
134,1,0,0,2025-02-21 15:04:22,30768424
135,1,1,1,2025-02-21 15:04:40,30768425
136,29,0,0,2025-02-21 15:08:41,30757749
137,29,1,0,2025-02-21 15:09:01,30757749
138,30,0,0,2025-02-21 15:09:01,30757749
139,11,0,0,2025-02-21 15:09:50,30768424
140,25,0,0,2025-02-21 15:09:50,30768424
141,1,1,0,2025-02-21 17:04:46,30770770
142,2,1,0,2025-02-21 17:04:46,30770770
143,12,1,0,2025-02-21 17:04:46,30770770
144,13,1,0,2025-02-21 17:04:46,30770770
145,14,1,0,2025-02-21 17:04:46,30770770
146,15,1,0,2025-02-21 17:04:46,30770770
147,8,1,0,2025-02-21 17:05:14,30770770
148,22,1,0,2025-02-21 17:05:14,30770770
149,23,1,0,2025-02-21 17:05:14,30770770
150,11,1,0,2025-02-21 17:05:29,30770770
151,25,1,0,2025-02-21 17:05:29,30770770
152,26,1,0,2025-02-21 17:05:29,30770770
153,27,1,0,2025-02-21 17:05:29,30770770
154,28,1,0,2025-02-21 17:05:29,30770770
155,4,1,0,2025-02-21 17:07:28,30770770
156,16,1,0,2025-02-21 17:07:28,30770770
157,29,0,0,2025-02-24 08:31:18,30757749
158,30,1,0,2025-02-24 08:31:18,30757749
159,11,1,1,2025-02-24 11:16:14,30776683
160,25,1,1,2025-02-24 11:16:14,30776683
161,26,1,1,2025-02-24 11:16:14,30776683
162,27,1,1,2025-02-24 11:16:14,30776683
163,28,1,1,2025-02-24 11:16:14,30776683
164,12,1,1,2025-02-24 12:16:24,30764513
165,29,1,0,2025-02-24 12:17:54,30761332
166,12,1,0,2025-02-24 12:17:55,30764513
167,29,0,0,2025-02-24 12:18:03,30761332
168,28,0,0,2025-02-24 12:19:07,30764513
169,28,1,1,2025-02-24 12:20:46,30764513
170,29,1,0,2025-02-24 12:35:28,30761332
171,29,0,0,2025-02-24 12:38:43,30761332
172,29,1,0,2025-02-24 12:51:19,30761332
173,29,0,0,2025-02-24 12:52:35,30761332
174,29,1,0,2025-02-24 13:02:23,30757749
175,31,0,0,2025-02-24 13:02:23,30757749
176,31,1,0,2025-02-24 13:24:08,30761332
183,29,0,0,2025-02-24 13:25:33,30761332
184,30,0,0,2025-02-25 12:30:26,30774130
185,31,1,1,2025-02-25 12:37:30,30774130
186,30,1,0,2025-02-25 12:41:27,30774130
187,31,1,0,2025-02-25 12:41:27,30774130
188,30,0,0,2025-02-25 12:44:19,30774130
189,31,1,1,2025-02-25 12:44:19,30774130
190,31,1,0,2025-02-25 13:11:48,30774130
191,30,1,0,2025-02-25 13:18:27,30774130
192,31,1,1,2025-02-25 13:18:27,30774130
193,30,0,0,2025-02-25 13:22:05,30774130
194,31,1,0,2025-02-25 13:22:05,30774130
195,31,0,0,2025-02-25 13:37:29,30774130
196,34,0,0,2025-02-25 13:37:29,30774130
197,1,0,0,2025-02-25 14:02:30,30774130
198,2,1,1,2025-02-25 14:02:30,30774130
199,1,1,0,2025-02-25 14:03:09,30774130
200,2,1,0,2025-02-25 14:03:09,30774130
201,29,1,1,2025-02-25 14:05:46,30774130
202,31,1,1,2025-02-25 14:05:46,30774130
203,32,0,0,2025-02-25 14:05:46,30774130
204,29,0,0,2025-02-25 14:20:51,30774130
205,30,1,0,2025-02-25 14:20:51,30774130
206,29,1,0,2025-02-25 14:21:15,30774130
207,31,1,0,2025-02-25 14:21:15,30774130
208,29,1,1,2025-02-25 14:26:27,30774130
209,29,1,0,2025-02-25 14:27:32,30774130
210,29,1,1,2025-02-25 14:29:17,30774130
211,29,1,0,2025-02-25 14:30:33,30774130
212,30,1,1,2025-02-25 14:30:33,30774130
213,30,1,0,2025-02-25 14:42:12,30774130
214,29,1,1,2025-02-25 14:42:25,30774130
215,30,1,1,2025-02-25 14:42:25,30774130
216,31,0,0,2025-02-25 14:42:25,30774130
217,29,0,0,2025-02-25 14:43:04,30774130
218,30,0,0,2025-02-25 14:43:04,30774130
219,31,1,0,2025-02-25 14:43:04,30774130
220,30,1,0,2025-02-26 13:55:16,30757749
221,4,0,0,2025-02-26 16:00:46,30776683
222,1,0,0,2025-02-26 16:01:21,30776683
223,13,1,1,2025-02-26 16:01:21,30776683
224,14,1,1,2025-02-26 16:01:21,30776683
225,29,1,0,2025-02-28 09:26:36,30761332
232,29,0,0,2025-02-28 09:28:14,30761332
233,29,1,0,2025-02-28 13:42:37,30757749
234,1,1,0,2025-03-05 19:49:06,30770770
235,13,1,0,2025-03-05 19:49:06,30770770
236,14,1,0,2025-03-05 19:49:06,30770770
237,4,1,0,2025-03-05 19:49:15,30770770
238,11,1,0,2025-03-06 14:46:09,30776683
239,25,1,0,2025-03-06 14:46:09,30776683
240,26,1,0,2025-03-06 14:46:09,30776683
241,27,1,0,2025-03-06 14:46:09,30776683
242,28,0,0,2025-03-06 14:46:09,30776683
243,28,1,0,2025-03-06 15:43:49,30776683
244,4,0,0,2025-03-09 08:52:19,30776683
245,4,1,0,2025-03-09 14:03:48,30770770
246,4,0,0,2025-03-10 08:07:00,30770770
247,1,0,0,2025-03-10 08:07:24,30770770
248,13,1,1,2025-03-10 08:07:24,30770770
249,14,1,1,2025-03-10 08:07:24,30770770
250,2,0,0,2025-03-12 15:16:15,30768424
251,2,1,0,2025-03-13 07:23:45,30776683
252,1,1,0,2025-04-01 12:03:06,30770770
253,13,1,0,2025-04-01 12:03:06,30770770
254,14,1,0,2025-04-01 12:03:06,30770770
255,25,0,0,2025-05-01 11:03:37,30770770
256,26,0,0,2025-05-01 11:03:37,30770770
257,25,0,0,2025-05-01 11:03:38,30770770
258,26,0,0,2025-05-01 11:03:38,30770770
259,25,1,0,2025-05-01 11:13:05,30770770
260,26,1,0,2025-05-01 11:13:05,30770770
261,25,1,0,2025-05-01 11:13:06,30770770
262,26,1,0,2025-05-01 11:13:06,30770770
263,25,0,0,2025-05-04 21:15:43,30770770
264,25,1,0,2025-05-04 21:26:56,30770770
265,7,1,1,2025-05-20 14:00:15,30776683
266,7,1,0,2025-05-20 15:05:09,30776683
267,7,1,1,2025-05-21 11:38:07,30776683
268,7,1,0,2025-05-21 13:37:11,30770770
269,7,1,1,2025-05-26 12:37:06,30752532
270,22,0,0,2025-05-26 12:37:06,30752532
271,7,1,0,2025-06-04 08:57:53,30770770
272,12,1,1,2025-06-04 11:47:00,30790638
273,12,1,0,2025-06-04 11:48:45,30790638
274,57,1,1,2025-06-05 16:38:45,3.07809e+007
275,58,1,1,2025-06-05 16:38:45,3.07809e+007
276,57,0,0,2025-06-06 07:23:39,30770770
277,58,0,0,2025-06-06 07:23:39,30770770
278,8,1,1,2025-06-24 14:19:42,30752532
279,8,1,0,2025-06-25 10:01:51,30770770
280,23,1,1,2025-06-25 10:01:51,30770770
281,8,1,1,2025-06-25 10:39:36,30770770
282,23,1,0,2025-06-25 10:39:36,30770770
283,8,1,0,2025-06-25 13:45:35,30770770
284,23,1,1,2025-06-25 13:45:35,30770770
285,8,1,1,2025-06-25 14:08:45,30770770
286,23,1,0,2025-06-25 14:08:45,30770770
287,8,1,1,2025-06-25 14:08:46,30770770
288,23,1,0,2025-06-25 14:08:46,30770770
295,8,1,0,2025-07-25 17:36:45,30770770
296,22,1,0,2025-07-25 17:36:45,30770770
297,4,1,0,2025-07-25 17:38:18,30770770
298,4,1,0,2025-07-25 17:38:18,30770770
299,4,1,0,2025-07-25 17:38:20,30770770
300,4,1,0,2025-07-25 17:38:22,30770770
301,4,1,0,2025-07-25 17:38:25,30770770
302,4,1,0,2025-07-25 17:38:25,30770770
303,22,0,0,2025-07-28 12:08:28,30770770
304,22,0,0,2025-07-28 12:08:29,30770770
305,4,0,0,2025-07-28 12:09:01,30770770
306,22,1,0,2025-07-28 12:19:14,30770770
307,4,1,0,2025-07-28 12:19:20,30770770
308,22,0,0,2025-07-29 07:09:00,30770770
309,4,0,0,2025-07-29 07:09:06,30770770
310,4,1,0,2025-07-29 07:16:19,30770770
311,22,1,0,2025-07-29 07:16:25,30770770
312,8,1,1,2025-07-29 12:12:24,30770770
313,22,0,0,2025-07-29 12:12:24,30770770
314,4,0,0,2025-07-29 12:12:32,30770770
315,8,1,0,2025-07-29 12:17:43,30770770
316,22,1,0,2025-07-29 12:17:43,30770770
317,4,1,0,2025-07-29 12:17:48,30770770
318,7,1,1,2025-07-29 14:16:57,30770770
319,8,1,1,2025-07-29 14:16:57,30770770
320,22,0,0,2025-07-29 14:16:57,30770770
321,4,0,0,2025-07-29 14:17:04,30770770
322,7,1,0,2025-07-29 14:50:32,30770770
323,8,1,0,2025-07-29 14:50:32,30770770
324,22,1,0,2025-07-29 14:50:32,30770770
325,7,1,0,2025-07-29 14:50:32,30770770
326,8,1,0,2025-07-29 14:50:32,30770770
327,22,1,0,2025-07-29 14:50:32,30770770
328,4,1,0,2025-07-29 14:50:41,30770770
329,4,0,0,2025-07-29 17:21:06,30770770
330,7,1,1,2025-07-29 17:21:28,30770770
331,8,1,1,2025-07-29 17:21:28,30770770
332,22,0,0,2025-07-29 17:21:28,30770770
333,4,1,0,2025-07-29 17:36:12,30770770
334,4,1,0,2025-07-29 17:36:12,30770770
335,4,1,0,2025-07-29 17:36:18,30770770
336,4,1,0,2025-07-29 17:36:25,30770770
337,4,1,0,2025-07-29 17:36:26,30770770
338,7,1,0,2025-07-29 17:36:52,30770770
339,8,1,0,2025-07-29 17:36:52,30770770
340,22,1,0,2025-07-29 17:36:52,30770770
341,4,0,0,2025-07-31 10:50:20,30776683
342,7,1,1,2025-07-31 10:50:45,30776683
343,8,1,1,2025-07-31 10:50:45,30776683
344,22,0,0,2025-07-31 10:50:45,30776683
345,4,1,0,2025-07-31 11:21:39,30770770
346,7,1,0,2025-07-31 11:21:53,30770770
347,8,1,0,2025-07-31 11:21:53,30770770
348,22,1,0,2025-07-31 11:21:53,30770770
349,4,0,0,2025-07-31 14:02:32,30770770
350,22,0,0,2025-07-31 14:03:33,30770770
351,4,1,0,2025-07-31 17:47:12,30770770
352,22,1,0,2025-07-31 17:47:18,30770770
353,4,0,0,2025-08-01 07:25:17,30770770
354,22,0,0,2025-08-01 07:25:25,30770770
355,7,1,1,2025-08-04 11:11:18,30776683
356,8,1,1,2025-08-04 11:11:18,30776683
357,1,0,0,2025-08-04 13:57:47,30761725
358,1,1,0,2025-08-04 13:57:54,30761725
361,57,1,1,2025-08-22 16:21:13,30761725
362,58,1,1,2025-08-22 16:21:13,30761725
364,7,1,0,2025-08-23 09:10:15,30770770
365,8,1,0,2025-08-23 09:10:15,30770770
366,22,1,0,2025-08-23 09:10:15,30770770
367,57,0,0,2025-08-23 09:18:43,30770770
368,58,0,0,2025-08-23 09:18:43,30770770
369,4,1,0,2025-08-23 16:00:29,30770770
370,4,1,0,2025-08-23 16:00:29,30770770
371,4,0,0,2025-08-26 07:57:31,30770770
372,4,0,0,2025-08-26 07:57:32,30770770
373,22,0,0,2025-08-26 07:57:44,30770770
374,22,1,0,2025-08-26 10:05:59,30770770
375,22,1,0,2025-08-26 10:06:00,30770770
376,4,1,0,2025-08-26 10:06:12,30770770
377,8,1,1,2025-08-26 12:30:37,30776683
378,22,1,1,2025-08-26 12:30:37,30776683
379,7,1,1,2025-08-26 12:31:28,30776683
380,22,0,0,2025-08-26 12:31:28,30776683
381,7,1,0,2025-08-26 14:23:12,30770770
382,8,1,0,2025-08-26 14:23:12,30770770
383,22,1,0,2025-08-26 14:23:12,30770770
384,7,1,1,2025-08-28 08:09:35,30770770
385,22,0,0,2025-08-28 08:09:35,30770770
386,4,0,0,2025-08-28 08:09:43,30770770
387,8,1,1,2025-09-02 07:02:33,30776683
388,8,1,0,2025-09-04 11:08:02,30752532
389,1,0,0,2025-09-04 14:19:15,30757749
390,1,0,0,2025-09-04 14:19:15,30757749
391,1,1,0,2025-09-04 14:19:39,30757749
392,4,1,0,2025-09-30 14:36:53,30770770
393,4,0,0,2025-10-01 12:03:54,30770770
394,4,1,0,2025-10-01 12:25:22,30770770
395,4,1,0,2025-10-01 12:25:23,30770770
396,7,1,0,2025-11-10 17:05:51,30770770
397,22,1,1,2026-02-09 09:53:56,30770770
398,22,1,0,2026-02-09 12:58:32,30770770
399,22,1,1,2026-02-10 08:26:29,30770770
400,22,1,0,2026-02-11 08:44:37,30770770
