tag_name,kind,blr_scope,blr_unit,priority_minlp,hierarchy_element_path,hierarchy_leaf_element,hierarchy_attribute_name,pi_sensor,pi_status,depends_on_pi_sensors,n_pi_sensors,formula,refs
VHP_BFW_A_Motor_Status,inferred,boiler,BLR_1,1,,,,,,,0,"if(([VHP_BFW_A_AMPS])>150||([VHP_BFW_A_Discharge_flow]>150000)||([VHP_BFW_A_Vibration]>2),1,0)",VHP_BFW_A_AMPS; VHP_BFW_A_Discharge_flow; VHP_BFW_A_Vibration
BFW_B_Turb_Steam,inferred,boiler,BLR_2,1,,,,,,,0,"if([BFW_B_Turb_Steam_raw]<100,0,[BFW_B_Turb_Steam_raw]/1000)",BFW_B_Turb_Steam_raw
BFW_B_Turb_Steam_Imbalance,inferred,boiler,BLR_2,1,,,,,,UN.UO.71FI1101.PV; UN.UO.71FI1201.PV; UN.UO.71FI1301.PV; UN.UO.71FI1401.PV; UN.UO.71FI1501A.PV,5,[BFW_B_Turb_Steam_cons]-[BFW_B_Turb_Steam_Regression],BFW_B_Turb_Steam_Regression; BFW_B_Turb_Steam_cons
BFW_B_Turb_Steam_Regression,inferred,boiler,BLR_2,1,,,,,,UN.UO.71FI1101.PV; UN.UO.71FI1201.PV; UN.UO.71FI1301.PV; UN.UO.71FI1401.PV; UN.UO.71FI1501A.PV,5,((-0.0233*([BFW_Flow_Consumption]/[BFW_Drives_Running])^2+26.665*([BFW_Flow_Consumption]/[BFW_Drives_Running])+10505)/1000),BFW_Drives_Running; BFW_Flow_Consumption
BFW_B_Turb_Steam_cons,inferred,boiler,BLR_2,1,,,,,,UN.UO.71FI1101.PV; UN.UO.71FI1201.PV; UN.UO.71FI1301.PV; UN.UO.71FI1401.PV; UN.UO.71FI1501A.PV,5,"if([BFW_B_Turb_Status]==1,[BFW_B_Turb_Steam],[BFW_B_Turb_Steam_Regression])",BFW_B_Turb_Status; BFW_B_Turb_Steam; BFW_B_Turb_Steam_Regression
BLR_2_HPS_Gen,inferred,boiler,BLR_2,1,,,,,,UN.UO.71FI1201.PV,1,"if([BLR_2_HPS_Gen_raw]<0,0,[BLR_2_HPS_Gen_raw]/1000)",BLR_2_HPS_Gen_raw
FD_Fan_BLR_2_Steam,inferred,boiler,BLR_2,1,,,,,,,0,"if([FD_Fan_BLR_2_Steam_raw]<500,0,[FD_Fan_BLR_2_Steam_raw]/1000)",FD_Fan_BLR_2_Steam_raw
Fuel_BLR_2,inferred,boiler,BLR_2,1,,,,,,UN.UO.71FI1201.PV,1,"if((([Boielr_B_Fuel_Gas_Flow]-[Fuel_BLR_2_raw])/[Boielr_B_Fuel_Gas_Flow]*100 > 2) ||(([Boielr_B_Fuel_Gas_Flow]-[Fuel_BLR_2_raw])/[Boielr_B_Fuel_Gas_Flow]*100 < (-2)),[Fuel_BLR_2_raw],[Boielr_B_Fuel_Gas_Flow])*[BLR_2_Status]/1000",BLR_2_Status; Boielr_B_Fuel_Gas_Flow; Fuel_BLR_2_raw
Spec_En_Cons_BLR_2,inferred,boiler,BLR_2,1,,,,,,UN.UO.71FI1201.PV,1,"if([BLR_2_HPS_Gen]==0,0,[Fuel_BLR_2]*[LHV]/[BLR_2_HPS_Gen])",BLR_2_HPS_Gen; Fuel_BLR_2; LHV
VHP_BFW_B_Turb_Status,inferred,boiler,BLR_2,1,,,,,,,0,"if((([VHP_BFW_B_Turb_Steam_raw]/1000))>16||([VHP_BFW_B_Discharge_flow]>150000),1,0)",VHP_BFW_B_Discharge_flow; VHP_BFW_B_Turb_Steam_raw
VHP_BFW_B_Turb_Steam,inferred,boiler,BLR_2,1,,,,,,,0,"if([VHP_BFW_B_Turb_Steam_raw]<100,0,[VHP_BFW_B_Turb_Steam_raw]/1000)",VHP_BFW_B_Turb_Steam_raw
BFW_C_Turb_Steam,inferred,boiler,BLR_3,1,,,,,,,0,"if([BFW_C_Turb_Steam_raw]<100,0,[BFW_C_Turb_Steam_raw]/1000)",BFW_C_Turb_Steam_raw
BFW_C_Turb_Steam_Imbalance,inferred,boiler,BLR_3,1,,,,,,UN.UO.71FI1101.PV; UN.UO.71FI1201.PV; UN.UO.71FI1301.PV; UN.UO.71FI1401.PV; UN.UO.71FI1501A.PV,5,[BFW_C_Turb_Steam_cons]-[BFW_C_Turb_Steam_Regression],BFW_C_Turb_Steam_Regression; BFW_C_Turb_Steam_cons
BFW_C_Turb_Steam_Regression,inferred,boiler,BLR_3,1,,,,,,UN.UO.71FI1101.PV; UN.UO.71FI1201.PV; UN.UO.71FI1301.PV; UN.UO.71FI1401.PV; UN.UO.71FI1501A.PV,5,((-0.0233*([BFW_Flow_Consumption]/[BFW_Drives_Running])^2+26.665*([BFW_Flow_Consumption]/[BFW_Drives_Running])+10505)/1000),BFW_Drives_Running; BFW_Flow_Consumption
BFW_C_Turb_Steam_cons,inferred,boiler,BLR_3,1,,,,,,UN.UO.71FI1101.PV; UN.UO.71FI1201.PV; UN.UO.71FI1301.PV; UN.UO.71FI1401.PV; UN.UO.71FI1501A.PV,5,"if([BFW_C_Turb_Status]==1,[BFW_C_Turb_Steam],[BFW_C_Turb_Steam_Regression])",BFW_C_Turb_Status; BFW_C_Turb_Steam; BFW_C_Turb_Steam_Regression
BLR_3_HPS_Gen,inferred,boiler,BLR_3,1,,,,,,UN.UO.71FI1301.PV,1,"if([BLR_3_HPS_Gen_raw]<0,0,[BLR_3_HPS_Gen_raw]/1000)",BLR_3_HPS_Gen_raw
FD_Fan_BLR_3_Steam,inferred,boiler,BLR_3,1,,,,,,,0,"if([FD_Fan_BLR_3_Steam_raw]<500,0,[FD_Fan_BLR_3_Steam_raw]/1000)",FD_Fan_BLR_3_Steam_raw
Fuel_BLR_3,inferred,boiler,BLR_3,1,,,,,,UN.UO.71FC1304.PV; UN.UO.71FI1301.PV,2,"if((([Boielr_C_Fuel_Gas_Flow]-[Fuel_BLR_3_raw])/[Boielr_C_Fuel_Gas_Flow]*100 > 2 )||(([Boielr_C_Fuel_Gas_Flow]-[Fuel_BLR_3_raw])/[Boielr_C_Fuel_Gas_Flow]*100 < (-2)),[Fuel_BLR_3_raw],[Boielr_C_Fuel_Gas_Flow])*[BLR_3_Status]/1000",BLR_3_Status; Boielr_C_Fuel_Gas_Flow; Fuel_BLR_3_raw
Spec_En_Cons_BLR_3,inferred,boiler,BLR_3,1,,,,,,UN.UO.71FC1304.PV; UN.UO.71FI1301.PV,2,"if([BLR_3_HPS_Gen]==0,0,[Fuel_BLR_3]*[LHV]/[BLR_3_HPS_Gen])",BLR_3_HPS_Gen; Fuel_BLR_3; LHV
VHP_BFW_C_Turb_Status,inferred,boiler,BLR_3,1,,,,,,,0,"if((([VHP_BFW_C_Turb_Steam_raw]/1000))>16||([VHP_BFW_C_Discharge_flow]>150000),1,0)",VHP_BFW_C_Discharge_flow; VHP_BFW_C_Turb_Steam_raw
VHP_BFW_C_Turb_Steam,inferred,boiler,BLR_3,1,,,,,,,0,"if([VHP_BFW_C_Turb_Steam_raw]<100,0,[VHP_BFW_C_Turb_Steam_raw]/1000)",VHP_BFW_C_Turb_Steam_raw
BLR_4_HPS_Gen,inferred,boiler,BLR_4,1,,,,,,UN.UO.71FI1401.PV,1,"if([BLR_4_HPS_Gen_raw]<0,0,[BLR_4_HPS_Gen_raw]/1000)",BLR_4_HPS_Gen_raw
FD_Fan_BLR_4_Steam,inferred,boiler,BLR_4,1,,,,,,,0,"if([FD_Fan_BLR_4_Steam_raw]<500,0,[FD_Fan_BLR_4_Steam_raw]/1000)",FD_Fan_BLR_4_Steam_raw
Fuel_BLR_4,inferred,boiler,BLR_4,1,,,,,,UN.UO.71FC1404.PV; UN.UO.71FI1401.PV,2,"if((([Boielr_D_Fuel_Gas_Flow]-[Fuel_BLR_4_raw])/[Boielr_D_Fuel_Gas_Flow]*100 > 2) ||(([Boielr_D_Fuel_Gas_Flow]-[Fuel_BLR_4_raw])/[Boielr_D_Fuel_Gas_Flow]*100 < (-2)),[Fuel_BLR_4_raw],[Boielr_D_Fuel_Gas_Flow])*[BLR_4_Status]/1000",BLR_4_Status; Boielr_D_Fuel_Gas_Flow; Fuel_BLR_4_raw
Spec_En_Cons_BLR_4,inferred,boiler,BLR_4,1,,,,,,UN.UO.71FC1404.PV; UN.UO.71FI1401.PV,2,"if([BLR_4_HPS_Gen]==0,0,[Fuel_BLR_4]*[LHV]/[BLR_4_HPS_Gen])",BLR_4_HPS_Gen; Fuel_BLR_4; LHV
BFW_E_Turb_Steam,inferred,boiler,BLR_5,1,,,,,,,0,"if([BFW_E_Turb_Steam_raw]<100,0,[BFW_E_Turb_Steam_raw]/1000)",BFW_E_Turb_Steam_raw
BFW_E_Turb_Steam_Imbalance,inferred,boiler,BLR_5,1,,,,,,UN.UO.71FI1101.PV; UN.UO.71FI1201.PV; UN.UO.71FI1301.PV; UN.UO.71FI1401.PV; UN.UO.71FI1501A.PV,5,[BFW_E_Turb_Steam_cons]-[BFW_E_Turb_Steam_Regression],BFW_E_Turb_Steam_Regression; BFW_E_Turb_Steam_cons
BFW_E_Turb_Steam_Regression,inferred,boiler,BLR_5,1,,,,,,UN.UO.71FI1101.PV; UN.UO.71FI1201.PV; UN.UO.71FI1301.PV; UN.UO.71FI1401.PV; UN.UO.71FI1501A.PV,5,((-0.0233*([BFW_Flow_Consumption]/[BFW_Drives_Running])^2+26.665*([BFW_Flow_Consumption]/[BFW_Drives_Running])+10505)/1000),BFW_Drives_Running; BFW_Flow_Consumption
BFW_E_Turb_Steam_cons,inferred,boiler,BLR_5,1,,,,,,UN.UO.71FI1101.PV; UN.UO.71FI1201.PV; UN.UO.71FI1301.PV; UN.UO.71FI1401.PV; UN.UO.71FI1501A.PV,5,"if([BFW_E_Turb_Status]==1,[BFW_E_Turb_Steam],[BFW_E_Turb_Steam_Regression])",BFW_E_Turb_Status; BFW_E_Turb_Steam; BFW_E_Turb_Steam_Regression
BLR_5_HPS_Gen,inferred,boiler,BLR_5,1,,,,,,UN.UO.71FI1501A.PV,1,"if([BLR_5_HPS_Gen_raw]<0,0,[BLR_5_HPS_Gen_raw]/1000)",BLR_5_HPS_Gen_raw
FD_Fan_BLR_5_Steam,inferred,boiler,BLR_5,1,,,,,,,0,"if([FD_Fan_BLR_5_Steam_raw]<500,0,[FD_Fan_BLR_5_Steam_raw]/1000)",FD_Fan_BLR_5_Steam_raw
Fuel_BLR_5,inferred,boiler,BLR_5,1,,,,,,UN.UO.71FC1504.PV; UN.UO.71FI1501A.PV,2,"if(((([Boielr_E_Fuel_Gas_Flow]/1.295)-[Fuel_BLR_5_raw])/([Boielr_E_Fuel_Gas_Flow]/1.295)*100 > 2) ||((([Boielr_E_Fuel_Gas_Flow]/1.295)-[Fuel_BLR_5_raw])/([Boielr_E_Fuel_Gas_Flow]/1.295)*100 < (-2)),[Fuel_BLR_5_raw],[Boielr_E_Fuel_Gas_Flow]/1.295)*[BLR_5_Status]/1000",BLR_5_Status; Boielr_E_Fuel_Gas_Flow; Fuel_BLR_5_raw
Spec_En_Cons_BLR_5,inferred,boiler,BLR_5,1,,,,,,UN.UO.71FC1504.PV; UN.UO.71FI1501A.PV,2,"if([BLR_5_HPS_Gen]==0,0,[Fuel_BLR_5]*[LHV]/[BLR_5_HPS_Gen])",BLR_5_HPS_Gen; Fuel_BLR_5; LHV
BLR_1_HPS_Gen_raw,raw_pi,boiler,BLR_1,1,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam GeneratorA > HP-2 Fuel Fired BoilerA,HP-2 Fuel Fired BoilerA,Steam Generation Flow,UN.UO.71FI1101.PV,covered,UN.UO.71FI1101.PV,1,,
BOILER_A_CBD,raw_pi,boiler,BLR_1,1,,HP Boiler Blowdown SystemA,CBD,,needs_new_row,,0,,
BOILER_A_STACK_TEMPERATURE,raw_pi,boiler,BLR_1,1,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam GeneratorA > HP-2 Fuel Fired BoilerA,HP-2 Fuel Fired BoilerA,Stack Temperature,UN.UO.71TI1107.PV,covered,UN.UO.71TI1107.PV,1,,
Boielr_A_Fuel_Gas_Flow,raw_pi,boiler,BLR_1,1,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam GeneratorA > HP-2 Fuel Fired BoilerA,HP-2 Fuel Fired BoilerA,Fuel Gas Flow,UN.UO.71FC1104.PV,covered,UN.UO.71FC1104.PV,1,,
FD_Fan_BLR_1_Steam_raw,raw_pi,boiler,BLR_1,1,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam GeneratorA > HP-2 Fuel Fired BoilerA > HP Boiler Combustion SystemA > HP Boiler FD FanA,HP Boiler FD FanA,Inlet Steam Flow,,blank_in_hierarchy,,0,,
Fuel_BLR_1_raw,raw_pi,boiler,BLR_1,1,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam GeneratorA > HP-2 Fuel Fired BoilerA,HP-2 Fuel Fired BoilerA,Fuel Gas Flow,UN.UO.71FC1104.PV,covered,UN.UO.71FC1104.PV,1,,
BFW_B_Turb_Steam_raw,raw_pi,boiler,BLR_2,1,,HP Boiler BFW PumpB,Driver Steam Flow,,needs_new_row,,0,,
BLR_2_HPS_Gen_raw,raw_pi,boiler,BLR_2,1,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam GeneratorA > HP-2 Fuel Fired BoilerB,HP-2 Fuel Fired BoilerB,Steam Generation Flow,UN.UO.71FI1201.PV,covered,UN.UO.71FI1201.PV,1,,
BOILER_B_CBD,raw_pi,boiler,BLR_2,1,,HP Boiler Blowdown SystemB,CBD,,needs_new_row,,0,,
BOILER_B_STACK_TEMPERATURE,raw_pi,boiler,BLR_2,1,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam GeneratorA > HP-2 Fuel Fired BoilerB,HP-2 Fuel Fired BoilerB,Stack Temperature,UN.UO.71TI1207.PV,covered,UN.UO.71TI1207.PV,1,,
Boielr_B_Fuel_Gas_Flow,raw_pi,boiler,BLR_2,1,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam GeneratorA > HP-2 Fuel Fired BoilerB,HP-2 Fuel Fired BoilerB,Fuel Gas Flow,,blank_in_hierarchy,,0,,
FD_Fan_BLR_2_Steam_raw,raw_pi,boiler,BLR_2,1,,HP Boiler FD FanB,Inlet Steam Flow,,needs_new_row,,0,,
Fuel_BLR_2_raw,raw_pi,boiler,BLR_2,1,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam GeneratorA > HP-2 Fuel Fired BoilerB,HP-2 Fuel Fired BoilerB,Fuel Gas Flow,,blank_in_hierarchy,,0,,
VHP_BFW_B_Turb_Steam_raw,raw_pi,boiler,BLR_2,1,,HP Boiler BFW PumpB,Driver Steam Flow,,needs_new_row,,0,,
BFW_C_Turb_Steam_raw,raw_pi,boiler,BLR_3,1,,HP Boiler BFW PumpC,Driver Steam Flow,,needs_new_row,,0,,
BLR_3_HPS_Gen_raw,raw_pi,boiler,BLR_3,1,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam GeneratorA > HP-2 Fuel Fired BoilerC,HP-2 Fuel Fired BoilerC,Steam Generation Flow,UN.UO.71FI1301.PV,covered,UN.UO.71FI1301.PV,1,,
BOILER_C_CBD,raw_pi,boiler,BLR_3,1,,HP Boiler Blowdown SystemC,CBD,,needs_new_row,,0,,
BOILER_C_STACK_TEMPERATURE,raw_pi,boiler,BLR_3,1,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam GeneratorA > HP-2 Fuel Fired BoilerC,HP-2 Fuel Fired BoilerC,Stack Temperature,UN.UO.71TI1307.PV,covered,UN.UO.71TI1307.PV,1,,
Boielr_C_Fuel_Gas_Flow,raw_pi,boiler,BLR_3,1,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam GeneratorA > HP-2 Fuel Fired BoilerC,HP-2 Fuel Fired BoilerC,Fuel Gas Flow,UN.UO.71FC1304.PV,covered,UN.UO.71FC1304.PV,1,,
FD_Fan_BLR_3_Steam_raw,raw_pi,boiler,BLR_3,1,,HP Boiler FD FanC,Inlet Steam Flow,,needs_new_row,,0,,
Fuel_BLR_3_raw,raw_pi,boiler,BLR_3,1,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam GeneratorA > HP-2 Fuel Fired BoilerC,HP-2 Fuel Fired BoilerC,Fuel Gas Flow,UN.UO.71FC1304.PV,covered,UN.UO.71FC1304.PV,1,,
VHP_BFW_C_Turb_Steam_raw,raw_pi,boiler,BLR_3,1,,HP Boiler BFW PumpC,Driver Steam Flow,,needs_new_row,,0,,
BLR_4_HPS_Gen_raw,raw_pi,boiler,BLR_4,1,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam GeneratorA > HP-2 Fuel Fired BoilerD,HP-2 Fuel Fired BoilerD,Steam Generation Flow,UN.UO.71FI1401.PV,covered,UN.UO.71FI1401.PV,1,,
BOILER_D_CBD,raw_pi,boiler,BLR_4,1,,HP Boiler Blowdown SystemD,CBD,,needs_new_row,,0,,
BOILER_D_STACK_TEMPERATURE,raw_pi,boiler,BLR_4,1,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam GeneratorA > HP-2 Fuel Fired BoilerD,HP-2 Fuel Fired BoilerD,Stack Temperature,UN.UO.71TI1407.PV,covered,UN.UO.71TI1407.PV,1,,
Boielr_D_Fuel_Gas_Flow,raw_pi,boiler,BLR_4,1,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam GeneratorA > HP-2 Fuel Fired BoilerD,HP-2 Fuel Fired BoilerD,Fuel Gas Flow,UN.UO.71FC1404.PV,covered,UN.UO.71FC1404.PV,1,,
FD_Fan_BLR_4_Steam_raw,raw_pi,boiler,BLR_4,1,,HP Boiler FD FanD,Inlet Steam Flow,,needs_new_row,,0,,
Fuel_BLR_4_raw,raw_pi,boiler,BLR_4,1,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam GeneratorA > HP-2 Fuel Fired BoilerD,HP-2 Fuel Fired BoilerD,Fuel Gas Flow,UN.UO.71FC1404.PV,covered,UN.UO.71FC1404.PV,1,,
BFW_E_Turb_Steam_raw,raw_pi,boiler,BLR_5,1,,HP Boiler BFW PumpE,Driver Steam Flow,,needs_new_row,,0,,
BLR_5_HPS_Gen_raw,raw_pi,boiler,BLR_5,1,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam GeneratorA > HP-2 Fuel Fired BoilerE,HP-2 Fuel Fired BoilerE,Steam Generation Flow,UN.UO.71FI1501A.PV,covered,UN.UO.71FI1501A.PV,1,,
BOILER_E_CBD,raw_pi,boiler,BLR_5,1,,HP Boiler Blowdown SystemE,CBD,,needs_new_row,,0,,
BOILER_E_STACK_TEMPERATURE,raw_pi,boiler,BLR_5,1,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam GeneratorA > HP-2 Fuel Fired BoilerE,HP-2 Fuel Fired BoilerE,Stack Temperature,UN.UO.71TI1507.PV,covered,UN.UO.71TI1507.PV,1,,
Boielr_E_Fuel_Gas_Flow,raw_pi,boiler,BLR_5,1,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam GeneratorA > HP-2 Fuel Fired BoilerE,HP-2 Fuel Fired BoilerE,Fuel Gas Flow,UN.UO.71FC1504.PV,covered,UN.UO.71FC1504.PV,1,,
FD_Fan_BLR_5_Steam_raw,raw_pi,boiler,BLR_5,1,,HP Boiler FD FanE,Inlet Steam Flow,,needs_new_row,,0,,
Fuel_BLR_5_raw,raw_pi,boiler,BLR_5,1,Steam Network 1 > HP-2 Steam HeaderA > HP-2 Steam GeneratorA > HP-2 Fuel Fired BoilerE,HP-2 Fuel Fired BoilerE,Fuel Gas Flow,UN.UO.71FC1504.PV,covered,UN.UO.71FC1504.PV,1,,
Air_Compressor_Turbine_A_Steam,inferred,system,,1,,,,,,,0,"if([Air_Compressor_Turbine_A_Steam_raw]<100,0,[Air_Compressor_Turbine_A_Steam_raw]/1000)",Air_Compressor_Turbine_A_Steam_raw
Air_Compressor_Turbine_D_Steam,inferred,system,,1,,,,,,,0,"if([Air_Compressor_Turbine_D_Steam_raw]<100,0,[Air_Compressor_Turbine_D_Steam_raw]/1000)",Air_Compressor_Turbine_D_Steam_raw
BFW_Drives_Running,inferred,system,,1,,,,,,,0,[BFW_A_Motor_Status]+[BFW_B_Turb_Status]+[BFW_C_Turb_Status]+[BFW_D_Motor_Status]+[BFW_E_Turb_Status]+[BFW_F_Motor_Status],BFW_A_Motor_Status; BFW_B_Turb_Status; BFW_C_Turb_Status; BFW_D_Motor_Status; BFW_E_Turb_Status; BFW_F_Motor_Status
BFW_F_Motor_Power,inferred,system,,1,,,,,,,0,[BFW_F_Motor_Status]*800/1000,BFW_F_Motor_Status
BFW_F_Motor_Power_Imbalance,inferred,system,,1,,,,,,UN.UO.71FI1101.PV; UN.UO.71FI1201.PV; UN.UO.71FI1301.PV; UN.UO.71FI1401.PV; UN.UO.71FI1501A.PV,5,[BFW_F_Motor_Power_cons]-[BFW_F_Motor_Power_Regression],BFW_F_Motor_Power_Regression; BFW_F_Motor_Power_cons
BFW_F_Motor_Power_Regression,inferred,system,,1,,,,,,UN.UO.71FI1101.PV; UN.UO.71FI1201.PV; UN.UO.71FI1301.PV; UN.UO.71FI1401.PV; UN.UO.71FI1501A.PV,5,((-0.0016*([BFW_Flow_Consumption]/[BFW_Drives_Running])^2+1.8045*([BFW_Flow_Consumption]/[BFW_Drives_Running])+401.61)/1000)/0.95,BFW_Drives_Running; BFW_Flow_Consumption
BFW_F_Motor_Power_cons,inferred,system,,1,,,,,,UN.UO.71FI1101.PV; UN.UO.71FI1201.PV; UN.UO.71FI1301.PV; UN.UO.71FI1401.PV; UN.UO.71FI1501A.PV,5,"if([BFW_F_Motor_Status]==1,[BFW_F_Motor_Power],[BFW_F_Motor_Power_Regression])",BFW_F_Motor_Power; BFW_F_Motor_Power_Regression; BFW_F_Motor_Status
BFW_F_Motor_Status,inferred,system,,1,,,,,,,0,"if(([PM7103F_CWP_MTR_BEARING])>50,1,0)",PM7103F_CWP_MTR_BEARING
BFW_Flow_Consumption,inferred,system,,1,,,,,,UN.UO.71FI1101.PV; UN.UO.71FI1201.PV; UN.UO.71FI1301.PV; UN.UO.71FI1401.PV; UN.UO.71FI1501A.PV,5,[BFW_to_EOEG_1]+[BFW_to_EOEG_2]+[BFW_to_EOEG_3]+[BFW_TO_LAO]+[DSP_BFW_TO_ETH]+[DSP_BFW_TO_EG1]+[DSP_BFW_TO_EG2]+[DSP_BFW_TO_EG3]+[DSP_BFW_TO_CAUSTIC_DILUTION]+[Total_BLR_HPS_Generation]/.99,BFW_TO_LAO; BFW_to_EOEG_1; BFW_to_EOEG_2; BFW_to_EOEG_3; DSP_BFW_TO_CAUSTIC_DILUTION; DSP_BFW_TO_EG1; DSP_BFW_TO_EG2; DSP_BFW_TO_EG3; DSP_BFW_TO_ETH; Total_BLR_HPS_Generation
BFW_Imbalance,inferred,system,,1,,,,,,UN.ETH.17PC7032.MV; UN.UO.71FI1101.PV; UN.UO.71FI1201.PV; UN.UO.71FI1301.PV; UN.UO.71FI1401.PV; UN.UO.71FI1501A.PV,6,[Total_BFW_Generated]-[Total_BFW_Consumption],Total_BFW_Consumption; Total_BFW_Generated
BFW_Motors_Running,inferred,system,,1,,,,,,,0,[BFW_A_Motor_Status]+[BFW_D_Motor_Status]+[BFW_F_Motor_Status],BFW_A_Motor_Status; BFW_D_Motor_Status; BFW_F_Motor_Status
BFW_TO_LAO,inferred,system,,1,,,,,,,0,"if([LAO_Plant_Status]==0,0,[BFW_TO_LAO_raw]/1000)",BFW_TO_LAO_raw; LAO_Plant_Status
BFW_Turbines_Running,inferred,system,,1,,,,,,,0,[BFW_B_Turb_Status]+[BFW_C_Turb_Status]+[BFW_E_Turb_Status],BFW_B_Turb_Status; BFW_C_Turb_Status; BFW_E_Turb_Status
BFW_to_Boilers,inferred,system,,1,,,,,,UN.UO.71FI1101.PV; UN.UO.71FI1201.PV; UN.UO.71FI1301.PV; UN.UO.71FI1401.PV; UN.UO.71FI1501A.PV,5,[Total_BLR_HPS_Generation]/.99,Total_BLR_HPS_Generation
