inferred_tag,formula,ref_count,refs,boiler_related,min_depth_from_minlp_target
Fuel_BLR_5,"if(((([Boielr_E_Fuel_Gas_Flow]/1.295)-[Fuel_BLR_5_raw])/([Boielr_E_Fuel_Gas_Flow]/1.295)*100 > 2) ||((([Boielr_E_Fuel_Gas_Flow]/1.295)-[Fuel_BLR_5_raw])/([Boielr_E_Fuel_Gas_Flow]/1.295)*100 < (-2)),[Fuel_BLR_5_raw],[Boielr_E_Fuel_Gas_Flow]/1.295)*[BLR_5_Status]/1000",3,BLR_5_Status; Boielr_E_Fuel_Gas_Flow; Fuel_BLR_5_raw,True,0
Spec_En_Cons_BLR_1,"if([BLR_1_HPS_Gen]==0,0,[Fuel_BLR_1]*[LHV]/[BLR_1_HPS_Gen])",3,BLR_1_HPS_Gen; Fuel_BLR_1; LHV,True,0
Spec_En_Cons_BLR_2,"if([BLR_2_HPS_Gen]==0,0,[Fuel_BLR_2]*[LHV]/[BLR_2_HPS_Gen])",3,BLR_2_HPS_Gen; Fuel_BLR_2; LHV,True,0
Spec_En_Cons_BLR_3,"if([BLR_3_HPS_Gen]==0,0,[Fuel_BLR_3]*[LHV]/[BLR_3_HPS_Gen])",3,BLR_3_HPS_Gen; Fuel_BLR_3; LHV,True,0
Spec_En_Cons_BLR_4,"if([BLR_4_HPS_Gen]==0,0,[Fuel_BLR_4]*[LHV]/[BLR_4_HPS_Gen])",3,BLR_4_HPS_Gen; Fuel_BLR_4; LHV,True,0
Spec_En_Cons_BLR_5,"if([BLR_5_HPS_Gen]==0,0,[Fuel_BLR_5]*[LHV]/[BLR_5_HPS_Gen])",3,BLR_5_HPS_Gen; Fuel_BLR_5; LHV,True,0
Total_BLR_HPS_Generation,([BLR_1_HPS_Gen]+[BLR_2_HPS_Gen]+[BLR_3_HPS_Gen]+[BLR_4_HPS_Gen]+[BLR_5_HPS_Gen]),5,BLR_1_HPS_Gen; BLR_2_HPS_Gen; BLR_3_HPS_Gen; BLR_4_HPS_Gen; BLR_5_HPS_Gen,True,0
Total_Boilers_Running,[BLR_1_Status]+[BLR_2_Status]+[BLR_3_Status]+[BLR_4_Status]+[BLR_5_Status],5,BLR_1_Status; BLR_2_Status; BLR_3_Status; BLR_4_Status; BLR_5_Status,True,0
VHP_BFW_A_Motor_Power,1.73*[Voltage_LP]*[VHP_BFW_A_AMPS]*[VHP_BFW_A_Motor_Status]*[power_factor]/1000/1000,4,VHP_BFW_A_AMPS; VHP_BFW_A_Motor_Status; Voltage_LP; power_factor,True,0
VHP_BFW_A_Motor_Status,"if(([VHP_BFW_A_AMPS])>150||([VHP_BFW_A_Discharge_flow]>150000)||([VHP_BFW_A_Vibration]>2),1,0)",3,VHP_BFW_A_AMPS; VHP_BFW_A_Discharge_flow; VHP_BFW_A_Vibration,True,0
VHP_BFW_B_Turb_Status,"if((([VHP_BFW_B_Turb_Steam_raw]/1000))>16||([VHP_BFW_B_Discharge_flow]>150000),1,0)",2,VHP_BFW_B_Discharge_flow; VHP_BFW_B_Turb_Steam_raw,True,0
VHP_BFW_B_Turb_Steam,"if([VHP_BFW_B_Turb_Steam_raw]<100,0,[VHP_BFW_B_Turb_Steam_raw]/1000)",1,VHP_BFW_B_Turb_Steam_raw,True,0
VHP_BFW_C_Turb_Status,"if((([VHP_BFW_C_Turb_Steam_raw]/1000))>16||([VHP_BFW_C_Discharge_flow]>150000),1,0)",2,VHP_BFW_C_Discharge_flow; VHP_BFW_C_Turb_Steam_raw,True,0
VHP_BFW_C_Turb_Steam,"if([VHP_BFW_C_Turb_Steam_raw]<100,0,[VHP_BFW_C_Turb_Steam_raw]/1000)",1,VHP_BFW_C_Turb_Steam_raw,True,0
VHP_BFW_Drives_Running,[VHP_BFW_B_Turb_Status]+[VHP_BFW_C_Turb_Status]+[VHP_BFW_A_Motor_Status],3,VHP_BFW_A_Motor_Status; VHP_BFW_B_Turb_Status; VHP_BFW_C_Turb_Status,True,0
VHP_BFW_Turbines_Running,[VHP_BFW_B_Turb_Status]+[VHP_BFW_C_Turb_Status],2,VHP_BFW_B_Turb_Status; VHP_BFW_C_Turb_Status,True,0
BFW_B_Turb_Steam_Regression,((-0.0233*([BFW_Flow_Consumption]/[BFW_Drives_Running])^2+26.665*([BFW_Flow_Consumption]/[BFW_Drives_Running])+10505)/1000),2,BFW_Drives_Running; BFW_Flow_Consumption,True,1
BFW_B_Turb_Steam_cons,"if([BFW_B_Turb_Status]==1,[BFW_B_Turb_Steam],[BFW_B_Turb_Steam_Regression])",3,BFW_B_Turb_Status; BFW_B_Turb_Steam; BFW_B_Turb_Steam_Regression,True,1
BFW_C_Turb_Steam_Regression,((-0.0233*([BFW_Flow_Consumption]/[BFW_Drives_Running])^2+26.665*([BFW_Flow_Consumption]/[BFW_Drives_Running])+10505)/1000),2,BFW_Drives_Running; BFW_Flow_Consumption,True,1
BFW_C_Turb_Steam_cons,"if([BFW_C_Turb_Status]==1,[BFW_C_Turb_Steam],[BFW_C_Turb_Steam_Regression])",3,BFW_C_Turb_Status; BFW_C_Turb_Steam; BFW_C_Turb_Steam_Regression,True,1
BFW_E_Turb_Steam_Regression,((-0.0233*([BFW_Flow_Consumption]/[BFW_Drives_Running])^2+26.665*([BFW_Flow_Consumption]/[BFW_Drives_Running])+10505)/1000),2,BFW_Drives_Running; BFW_Flow_Consumption,True,1
BFW_E_Turb_Steam_cons,"if([BFW_E_Turb_Status]==1,[BFW_E_Turb_Steam],[BFW_E_Turb_Steam_Regression])",3,BFW_E_Turb_Status; BFW_E_Turb_Steam; BFW_E_Turb_Steam_Regression,True,1
VHP_BFW_to_ETH,"if([ETH_Plant_Status]==0,0,([VHP_BFW_FROM_U_O]+[VHP_DESPHTR_BFW_FROM_U_O]))",3,ETH_Plant_Status; VHP_BFW_FROM_U_O; VHP_DESPHTR_BFW_FROM_U_O,True,3
BFW_A_Motor_Power,1.73*[Voltage_LP]*[BFW_A_AMPS]*[BFW_A_Motor_Status]*[power_factor]/1000/1000,4,BFW_A_AMPS; BFW_A_Motor_Status; Voltage_LP; power_factor,False,0
BFW_A_Motor_Power_Imbalance,[BFW_A_Motor_Power_cons]-[BFW_A_Motor_Power_Regression],2,BFW_A_Motor_Power_Regression; BFW_A_Motor_Power_cons,False,0
BFW_A_Motor_Status,"if(([BFW_A_AMPS]>60)||([BFW_A_Vibrations]>10)||([BFW_A_Bearing_temp]>60),1,0)",3,BFW_A_AMPS; BFW_A_Bearing_temp; BFW_A_Vibrations,False,0
BFW_B_Turb_Status,"if(([BFW_B_Turb_Steam_raw]/1000)>8,1,0)",1,BFW_B_Turb_Steam_raw,False,0
BFW_C_Turb_Status,"if(([BFW_C_Turb_Steam_raw]/1000)>8,1,0)",1,BFW_C_Turb_Steam_raw,False,0
BFW_D_Motor_Power,1.73*[Voltage_LP]*[BFW_D_AMPS]*[BFW_D_Motor_Status]*[power_factor]/1000/1000,4,BFW_D_AMPS; BFW_D_Motor_Status; Voltage_LP; power_factor,False,0
BFW_D_Motor_Power_Imbalance,[BFW_D_Motor_Power_cons]-[BFW_D_Motor_Power_Regression],2,BFW_D_Motor_Power_Regression; BFW_D_Motor_Power_cons,False,0
BFW_D_Motor_Status,"if(([BFW_D_AMPS]>60)||([BFW_D_Vibrations]>10)||([BFW_D_Bearing_temp]>60),1,0)",3,BFW_D_AMPS; BFW_D_Bearing_temp; BFW_D_Vibrations,False,0
BFW_Drives_Running,[BFW_A_Motor_Status]+[BFW_B_Turb_Status]+[BFW_C_Turb_Status]+[BFW_D_Motor_Status]+[BFW_E_Turb_Status]+[BFW_F_Motor_Status],6,BFW_A_Motor_Status; BFW_B_Turb_Status; BFW_C_Turb_Status; BFW_D_Motor_Status; BFW_E_Turb_Status; BFW_F_Motor_Status,False,0
BFW_E_Turb_Status,"if(([BFW_E_Turb_Steam_raw]/1000)>8,1,0)",1,BFW_E_Turb_Steam_raw,False,0
BFW_F_Motor_Power,[BFW_F_Motor_Status]*800/1000,1,BFW_F_Motor_Status,False,0
BFW_F_Motor_Power_Imbalance,[BFW_F_Motor_Power_cons]-[BFW_F_Motor_Power_Regression],2,BFW_F_Motor_Power_Regression; BFW_F_Motor_Power_cons,False,0
BFW_F_Motor_Status,"if(([PM7103F_CWP_MTR_BEARING])>50,1,0)",1,PM7103F_CWP_MTR_BEARING,False,0
BFW_Flow_Consumption,[BFW_to_EOEG_1]+[BFW_to_EOEG_2]+[BFW_to_EOEG_3]+[BFW_TO_LAO]+[DSP_BFW_TO_ETH]+[DSP_BFW_TO_EG1]+[DSP_BFW_TO_EG2]+[DSP_BFW_TO_EG3]+[DSP_BFW_TO_CAUSTIC_DILUTION]+[Total_BLR_HPS_Generation]/.99,10,BFW_TO_LAO; BFW_to_EOEG_1; BFW_to_EOEG_2; BFW_to_EOEG_3; DSP_BFW_TO_CAUSTIC_DILUTION; DSP_BFW_TO_EG1; DSP_BFW_TO_EG2; DSP_BFW_TO_EG3; DSP_BFW_TO_ETH; Total_BLR_HPS_Generation,False,0
BFW_Imbalance,[Total_BFW_Generated]-[Total_BFW_Consumption],2,Total_BFW_Consumption; Total_BFW_Generated,False,0
BFW_Motors_Running,[BFW_A_Motor_Status]+[BFW_D_Motor_Status]+[BFW_F_Motor_Status],3,BFW_A_Motor_Status; BFW_D_Motor_Status; BFW_F_Motor_Status,False,0
BFW_Turbines_Running,[BFW_B_Turb_Status]+[BFW_C_Turb_Status]+[BFW_E_Turb_Status],3,BFW_B_Turb_Status; BFW_C_Turb_Status; BFW_E_Turb_Status,False,0
BFW_to_Boilers,[Total_BLR_HPS_Generation]/.99,1,Total_BLR_HPS_Generation,False,0
BFW_to_HP_to_MP_Letdown_Flow_In_PV0007A_UO,0.11*[HP_to_MP_Letdown_HPS_Flow_In_PV0007A_UO],1,HP_to_MP_Letdown_HPS_Flow_In_PV0007A_UO,False,0
BFW_to_HP_to_MP_Letdown_Flow_In_PV0007B_UO,0.11*[HP_to_MP_Letdown_HPS_Flow_In_PV0007B_UO],1,HP_to_MP_Letdown_HPS_Flow_In_PV0007B_UO,False,0
BLR_1_Status,"if([BLR_1_HPS_Gen]>=50,1,0)",1,BLR_1_HPS_Gen,False,0
BLR_2_Status,"if([BLR_2_HPS_Gen]>=50,1,0)",1,BLR_2_HPS_Gen,False,0
BLR_3_Status,"if([BLR_3_HPS_Gen]>=50,1,0)",1,BLR_3_HPS_Gen,False,0
BLR_4_Status,"if([BLR_4_HPS_Gen]>=50,1,0)",1,BLR_4_HPS_Gen,False,0
BLR_5_Status,"if([BLR_5_HPS_Gen]>=50,1,0)",1,BLR_5_HPS_Gen,False,0
CBD_energy_saving_BLR1,0,0,,False,0
CBD_energy_saving_BLR2,0,0,,False,0
CBD_energy_saving_BLR3,0,0,,False,0
CBD_energy_saving_BLR4,0,0,,False,0
CBD_energy_saving_BLR5,0,0,,False,0
ETH_HPS_Demand,"if([ETH_Plant_Status]==0,0,max(ETH_HPS_Demand_old,(if(([Ethylene_HP_Consumption_Calculated]-[Ethylene_HP_Generation_Calculated])<0,0,[Ethylene_HP_Consumption_Calculated]-[Ethylene_HP_Generation_Calculated]))))",3,ETH_Plant_Status; Ethylene_HP_Consumption_Calculated; Ethylene_HP_Generation_Calculated,False,0
FUEL_GAS_From_UO_to_ETH,"if([ETH_Plant_Status]==0,0,round([FUEL_GAS_From_UO_to_ETH_raw],3))",2,ETH_Plant_Status; FUEL_GAS_From_UO_to_ETH_raw,False,0
FUEL_GAS_From_UO_to_LAO,"if([LAO_Plant_Status]==0,0,round((([FUEL_GAS_From_UO_to_LAO_A]+[FUEL_GAS_From_UO_to_LAO_B])/1000),3))",3,FUEL_GAS_From_UO_to_LAO_A; FUEL_GAS_From_UO_to_LAO_B; LAO_Plant_Status,False,0
HP_to_MP_Letdown_HPS_Flow_In_PV0007A_UO,(-0.0078*([HP_to_MP_Letdown_Valve_Opening_PV0007A_UO])^2+2.86*([HP_to_MP_Letdown_Valve_Opening_PV0007A_UO])),1,HP_to_MP_Letdown_Valve_Opening_PV0007A_UO,False,0
HP_to_MP_Letdown_HPS_Flow_In_PV0007B_UO,(-0.0078*([HP_to_MP_Letdown_Valve_Opening_PV0007B_UO])^2+2.86*([HP_to_MP_Letdown_Valve_Opening_PV0007B_UO])),1,HP_to_MP_Letdown_Valve_Opening_PV0007B_UO,False,0
LP_Steam_Generation,[LPS_from_Drives]+[MP_to_LP_Letdown_LPS_Flow_Out_PV013A_UO]+[MP_to_LP_Letdown_LPS_Flow_Out_PV013B_UO]+[MP_to_LP_Letdown_LPS_Flow_Out_PV31_UO]+[MP_to_LP_Letdown_LPS_Flow_Out_PV32_UO]+(([Total_BLR_HPS_Generation])*0.01*0.21),6,LPS_from_Drives; MP_to_LP_Letdown_LPS_Flow_Out_PV013A_UO; MP_to_LP_Letdown_LPS_Flow_Out_PV013B_UO; MP_to_LP_Letdown_LPS_Flow_Out_PV31_UO; MP_to_LP_Letdown_LPS_Flow_Out_PV32_UO; Total_BLR_HPS_Generation,False,0
MP_Steam_Generation,"if(abs(0.0395*[UO_HP_MP_Desuperheater1_opening]*[UO_HP_MP_Desuperheater1_opening] + 0.0228*[UO_HP_MP_Desuperheater1_opening]-[MP_Steam_Consumption])>10,[MP_Steam_Consumption]+10,0.0395*[UO_HP_MP_Desuperheater1_opening]*[UO_HP_MP_Desuperheater1_opening] + 0.0228*[UO_HP_MP_Desuperheater1_opening])",2,MP_Steam_Consumption; UO_HP_MP_Desuperheater1_opening,False,0
Steam_Generation_from_Boilers,([BLR_1_HPS_Gen]*[BLR_1_Status]+[BLR_2_HPS_Gen]*[BLR_2_Status]+[BLR_3_HPS_Gen]*[BLR_3_Status]+[BLR_4_HPS_Gen]*[BLR_4_Status]+[BLR_5_HPS_Gen]*[BLR_5_Status]),10,BLR_1_HPS_Gen; BLR_1_Status; BLR_2_HPS_Gen; BLR_2_Status; BLR_3_HPS_Gen; BLR_3_Status; BLR_4_HPS_Gen; BLR_4_Status; BLR_5_HPS_Gen; BLR_5_Status,False,0
Total_BFW_Consumption,[VHP_BFW_FROM_U_O]+[VHP_DESPHTR_BFW_FROM_U_O]+[BFW_to_EOEG_1]+[BFW_to_EOEG_2]+[BFW_to_EOEG_3]+[BFW_TO_LAO]+[DSP_BFW_TO_ETH]+[DSP_BFW_TO_EG1]+[DSP_BFW_TO_EG2]+[DSP_BFW_TO_EG3]+[DSP_BFW_TO_CAUSTIC_DILUTION]+[Total_BLR_HPS_Generation]/.99+[Deaerator_A_LPS_Vent]+[Deaerator_B_LPS_Vent],14,BFW_TO_LAO; BFW_to_EOEG_1; BFW_to_EOEG_2; BFW_to_EOEG_3; DSP_BFW_TO_CAUSTIC_DILUTION; DSP_BFW_TO_EG1; DSP_BFW_TO_EG2; DSP_BFW_TO_EG3; DSP_BFW_TO_ETH; Deaerator_A_LPS_Vent; Deaerator_B_LPS_Vent; Total_BLR_HPS_Generation; VHP_BFW_FROM_U_O; VHP_DESPHTR_BFW_FROM_U_O,False,0
Total_BFW_Generated,[Return_Condensate]+[DMW_Makeup]+([Deaerator_A_LPS_raw]+[Deaerator_B_LPS_raw])/1000+[Condensate_From_P_7106_to_Deaerator_Header],5,Condensate_From_P_7106_to_Deaerator_Header; DMW_Makeup; Deaerator_A_LPS_raw; Deaerator_B_LPS_raw; Return_Condensate,False,0
Total_Fuel_for_Boilers,([Fuel_BLR_1]+[Fuel_BLR_2]+[Fuel_BLR_3]+[Fuel_BLR_4]+[Fuel_BLR_5]),5,Fuel_BLR_1; Fuel_BLR_2; Fuel_BLR_3; Fuel_BLR_4; Fuel_BLR_5,False,0
BFW_A_Motor_Power_Regression,((-0.0016*([BFW_Flow_Consumption]/[BFW_Drives_Running])^2+1.8045*([BFW_Flow_Consumption]/[BFW_Drives_Running])+401.61)/1000)/0.95,2,BFW_Drives_Running; BFW_Flow_Consumption,False,1
BFW_A_Motor_Power_cons,"if([BFW_A_Motor_Status]==1,[BFW_A_Motor_Power],[BFW_A_Motor_Power_Regression])",3,BFW_A_Motor_Power; BFW_A_Motor_Power_Regression; BFW_A_Motor_Status,False,1
BFW_D_Motor_Power_Regression,((-0.0016*([BFW_Flow_Consumption]/[BFW_Drives_Running])^2+1.8045*([BFW_Flow_Consumption]/[BFW_Drives_Running])+401.61)/1000)/0.95,2,BFW_Drives_Running; BFW_Flow_Consumption,False,1
BFW_D_Motor_Power_cons,"if([BFW_D_Motor_Status]==1,[BFW_D_Motor_Power],[BFW_D_Motor_Power_Regression])",3,BFW_D_Motor_Power; BFW_D_Motor_Power_Regression; BFW_D_Motor_Status,False,1
BFW_F_Motor_Power_Regression,((-0.0016*([BFW_Flow_Consumption]/[BFW_Drives_Running])^2+1.8045*([BFW_Flow_Consumption]/[BFW_Drives_Running])+401.61)/1000)/0.95,2,BFW_Drives_Running; BFW_Flow_Consumption,False,1
BFW_F_Motor_Power_cons,"if([BFW_F_Motor_Status]==1,[BFW_F_Motor_Power],[BFW_F_Motor_Power_Regression])",3,BFW_F_Motor_Power; BFW_F_Motor_Power_Regression; BFW_F_Motor_Status,False,1
BFW_TO_LAO,"if([LAO_Plant_Status]==0,0,[BFW_TO_LAO_raw]/1000)",2,BFW_TO_LAO_raw; LAO_Plant_Status,False,1
BFW_to_EOEG_1,"if([EOEG1_Plant_Status]==0,0,[BFW_to_EOEG_1_raw])",2,BFW_to_EOEG_1_raw; EOEG1_Plant_Status,False,1
BFW_to_EOEG_2,"if([EOEG2_Plant_Status]==0,0,[BFW_to_EOEG_2_raw])",2,BFW_to_EOEG_2_raw; EOEG2_Plant_Status,False,1
BFW_to_EOEG_3,"if([EOEG3_Plant_Status]==0,0,[BFW_to_EOEG_3_raw])",2,BFW_to_EOEG_3_raw; EOEG3_Plant_Status,False,1
Condensate_From_P_7106_to_Deaerator_Header,[LP_Steam_Dumping_Valve_PC0024A_Steam_flow_out_UO]+[Boiler_CBD]+[Condensate_from_Traps],3,Boiler_CBD; Condensate_from_Traps; LP_Steam_Dumping_Valve_PC0024A_Steam_flow_out_UO,False,1
DMW_Makeup,([DMW_MAKEUP_Near_Clean_Condensate_Header]+[DMW_MAKEUP_Near_Suspect_Condensate_Header])/1000,2,DMW_MAKEUP_Near_Clean_Condensate_Header; DMW_MAKEUP_Near_Suspect_Condensate_Header,False,1
DSP_BFW_TO_CAUSTIC_DILUTION,[DSP_BFW_TO_CAUSTIC_DILUTION_raw]/1000,1,DSP_BFW_TO_CAUSTIC_DILUTION_raw,False,1
DSP_BFW_TO_EG1,"if([EOEG1_Plant_Status]==0,0,[DSP_BFW_TO_EG1_raw])",2,DSP_BFW_TO_EG1_raw; EOEG1_Plant_Status,False,1
DSP_BFW_TO_EG2,"if([EOEG2_Plant_Status]==0,0,[DSP_BFW_TO_EG2_raw])",2,DSP_BFW_TO_EG2_raw; EOEG2_Plant_Status,False,1
DSP_BFW_TO_EG3,"if([EOEG3_Plant_Status]==0,0,[DSP_BFW_TO_EG3_raw])",2,DSP_BFW_TO_EG3_raw; EOEG3_Plant_Status,False,1
DSP_BFW_TO_ETH,"if([ETH_Plant_Status]==0,0,[DSP_BFW_TO_ETH_raw])",2,DSP_BFW_TO_ETH_raw; ETH_Plant_Status,False,1
Deaerator_A_LPS_Vent,[Deaerator_A_LPS_raw]*0.02/1000,1,Deaerator_A_LPS_raw,False,1
Deaerator_B_LPS_Vent,[Deaerator_B_LPS_raw]*0.02/1000,1,Deaerator_B_LPS_raw,False,1
ETH_Plant_Status,"if(if(missing([Total_Ethylene_Production_ETH_Plant]),0,[Total_Ethylene_Production_ETH_Plant])>100,1,0)",1,Total_Ethylene_Production_ETH_Plant,False,1
Ethylene_HP_Consumption_Calculated,[HP_to_LP_Let_Down_Valve_HC7262_HP_Steam_flow_in_ETH]+[Quench_water_pump_turbine_Inlet_steam_flow]+[Eth_HP_to_CGC_lube_oil_pump_turbine_flow]+[Eth_HP_to_E_1103_flow]+[HP_to_LP_Let_Down_Valve_PC7026_LP_Steam_flow_out_ETH]+[Regeneration_Gas_Heater_Steam]+[Eth_HP_to_PT_1650_flow]+[C2R_turbine_Inlet_steam_flow]+[C3R_turbine_Inlet_steam_flow]+[HP_Steam_Vent_Valve_PC7027_Steam_Flow_Out_ETH],10,C2R_turbine_Inlet_steam_flow; C3R_turbine_Inlet_steam_flow; Eth_HP_to_CGC_lube_oil_pump_turbine_flow; Eth_HP_to_E_1103_flow; Eth_HP_to_PT_1650_flow; HP_Steam_Vent_Valve_PC7027_Steam_Flow_Out_ETH; HP_to_LP_Let_Down_Valve_HC7262_HP_Steam_flow_in_ETH; HP_to_LP_Let_Down_Valve_PC7026_LP_Steam_flow_out_ETH; Quench_water_pump_turbine_Inlet_steam_flow; Regeneration_Gas_Heater_Steam,False,1
Ethylene_HP_Generation_Calculated,[HP_Steam_from_CGC_Extraction]+[VHP_to_HP_Let_Down_Valve_PX7024A_HP_Steam_flow_out_ETH]+[VHP_to_HP_Let_Down_Valve_PX7024B_HP_Steam_flow_out_ETH],3,HP_Steam_from_CGC_Extraction; VHP_to_HP_Let_Down_Valve_PX7024A_HP_Steam_flow_out_ETH; VHP_to_HP_Let_Down_Valve_PX7024B_HP_Steam_flow_out_ETH,False,1
LAO_Plant_Status,"if(if(missing([LAO_Load]),0,[LAO_Load])<5,0,1)",1,LAO_Load,False,1
LPS_from_Drives,[BFW_E_Turb_Steam]+[BFW_B_Turb_Steam]+ [BFW_C_Turb_Steam]+ [VHP_BFW_B_Turb_Steam]+ [VHP_BFW_C_Turb_Steam]+ [CW_Turbine_A_Steam]+ [CW_Turbine_B_Steam]+ [CW_Turbine_G_Steam]+ [Air_Compressor_Turbine_A_Steam]+ [Air_Compressor_Turbine_D_Steam]+ [DMW_Turbine_A_Steam]+ [DMW_Turbine_C_Steam]+ [FD_Fan_BLR_1_Steam]+[FD_Fan_BLR_2_Steam]+ [FD_Fan_BLR_3_Steam]+ [FD_Fan_BLR_4_Steam]+ [FD_Fan_BLR_5_Steam],17,Air_Compressor_Turbine_A_Steam; Air_Compressor_Turbine_D_Steam; BFW_B_Turb_Steam; BFW_C_Turb_Steam; BFW_E_Turb_Steam; CW_Turbine_A_Steam; CW_Turbine_B_Steam; CW_Turbine_G_Steam; DMW_Turbine_A_Steam; DMW_Turbine_C_Steam; FD_Fan_BLR_1_Steam; FD_Fan_BLR_2_Steam; FD_Fan_BLR_3_Steam; FD_Fan_BLR_4_Steam; FD_Fan_BLR_5_Steam; VHP_BFW_B_Turb_Steam; VHP_BFW_C_Turb_Steam,False,1
