asset_name,key,value
BLR-2,co2_emission_factor_kg_per_gj,56.1
BLR-2,eco_fw_inlet_t_c,142
BLR-2,eco_fw_outlet_t_c,200
BLR-2,eco_fw_cp_kj_kg_k,4.18
BLR-2,eco_flue_inlet_t_c,305
BLR-2,eco_flue_outlet_t_c,155
BLR-2,eco_design_ua_kw_k,160
BLR-2,sh1_steam_pressure_bar,63
BLR-2,sh1_steam_inlet_t_c,290
BLR-2,sh1_steam_outlet_t_c,358
BLR-2,sh1_steam_flow_t_h,125
BLR-2,sh1_flue_inlet_t_c,740
BLR-2,sh1_flue_outlet_t_c,495
BLR-2,sh1_design_ua_kw_k,95
BLR-2,sh2_steam_pressure_bar,63
BLR-2,sh2_steam_inlet_t_c,358
BLR-2,sh2_steam_outlet_t_c,483
BLR-2,sh2_steam_flow_t_h,125
BLR-2,sh2_flue_inlet_t_c,1040
BLR-2,sh2_flue_outlet_t_c,740
BLR-2,sh2_design_ua_kw_k,75
BLR-2,desuperheater_water_t_c,142
BLR-2,desuperheater_steam_inlet_t_c,395
BLR-2,desuperheater_steam_outlet_t_c,358
BLR-2,aph_air_inlet_t_c,32
BLR-2,aph_air_outlet_t_c,205
BLR-2,aph_air_flow_nm3_h,89000
BLR-2,aph_air_cp_kj_kg_k,1.006
BLR-2,aph_air_density_kg_nm3,1.2
BLR-2,min_steam_flow_t_h,50
BLR-2,max_steam_flow_t_h,140
BLR-2,max_fuel_flow_nm3_h,10500
BLR-2,mass_balance_threshold_pct,2.0
BLR-2,energy_balance_threshold_pct,2.0
BLR-2,use_direct_efficiency,0.0
BLR-3,steam_flow_t_h,110
BLR-3,steam_pressure_bar,63
BLR-3,steam_temperature_c,480
BLR-3,feedwater_flow_t_h,114
BLR-3,feedwater_temperature_c,135
BLR-3,fuel_flow_nm3_h,7950
BLR-3,fuel_ch4_mol_pct,90.5
BLR-3,fuel_c2h6_mol_pct,4.8
BLR-3,fuel_c3h8_mol_pct,1.9
BLR-3,fuel_c4h10_mol_pct,0.4
BLR-3,fuel_h2_mol_pct,0.1
BLR-3,fuel_co_mol_pct,0.0
BLR-3,fuel_co2_mol_pct,1.3
BLR-3,fuel_n2_mol_pct,1.0
BLR-3,flue_o2_pct,4.5
BLR-3,stack_temperature_c,195
BLR-3,ambient_t_c,32
BLR-3,radiation_loss_pct,1.0
BLR-3,cbd_flow_m3_h,2.0
BLR-3,attemperator_spray_t_h,3.5
BLR-3,co2_emission_factor_kg_per_gj,56.1
BLR-3,eco_fw_inlet_t_c,135
BLR-3,eco_fw_outlet_t_c,190
BLR-3,eco_fw_cp_kj_kg_k,4.18
BLR-3,eco_flue_inlet_t_c,320
BLR-3,eco_flue_outlet_t_c,195
BLR-3,eco_design_ua_kw_k,160
BLR-3,sh1_steam_pressure_bar,63
BLR-3,sh1_steam_inlet_t_c,280
BLR-3,sh1_steam_outlet_t_c,355
BLR-3,sh1_steam_flow_t_h,110
BLR-3,sh1_flue_inlet_t_c,760
BLR-3,sh1_flue_outlet_t_c,510
BLR-3,sh1_design_ua_kw_k,95
BLR-3,sh2_steam_pressure_bar,63
BLR-3,sh2_steam_inlet_t_c,355
BLR-3,sh2_steam_outlet_t_c,480
BLR-3,sh2_steam_flow_t_h,110
BLR-3,sh2_flue_inlet_t_c,1060
BLR-3,sh2_flue_outlet_t_c,760
BLR-3,sh2_design_ua_kw_k,75
BLR-3,desuperheater_water_t_c,135
BLR-3,desuperheater_steam_inlet_t_c,390
BLR-3,desuperheater_steam_outlet_t_c,355
BLR-3,aph_air_inlet_t_c,32
BLR-3,aph_air_outlet_t_c,215
BLR-3,aph_air_flow_nm3_h,82000
BLR-3,aph_air_cp_kj_kg_k,1.006
BLR-3,aph_air_density_kg_nm3,1.2
BLR-3,min_steam_flow_t_h,50
BLR-3,max_steam_flow_t_h,140
BLR-3,max_fuel_flow_nm3_h,10500
BLR-3,mass_balance_threshold_pct,2.0
BLR-3,energy_balance_threshold_pct,2.0
BLR-3,use_direct_efficiency,0.0
BLR-4,steam_flow_t_h,130
BLR-4,steam_pressure_bar,63
BLR-4,steam_temperature_c,487
BLR-4,feedwater_flow_t_h,135
BLR-4,feedwater_temperature_c,140
BLR-4,fuel_flow_nm3_h,9050
BLR-4,fuel_ch4_mol_pct,90.5
BLR-4,fuel_c2h6_mol_pct,4.8
BLR-4,fuel_c3h8_mol_pct,1.9
BLR-4,fuel_c4h10_mol_pct,0.4
BLR-4,fuel_h2_mol_pct,0.1
BLR-4,fuel_co_mol_pct,0.0
BLR-4,fuel_co2_mol_pct,1.3
BLR-4,fuel_n2_mol_pct,1.0
BLR-4,flue_o2_pct,3.0
BLR-4,stack_temperature_c,162
BLR-4,ambient_t_c,32
BLR-4,radiation_loss_pct,0.8
BLR-4,cbd_flow_m3_h,2.6
BLR-4,attemperator_spray_t_h,5.5
BLR-4,co2_emission_factor_kg_per_gj,56.1
BLR-4,eco_fw_inlet_t_c,140
BLR-4,eco_fw_outlet_t_c,198
BLR-4,eco_fw_cp_kj_kg_k,4.18
BLR-4,eco_flue_inlet_t_c,308
BLR-4,eco_flue_outlet_t_c,162
BLR-4,eco_design_ua_kw_k,160
BLR-4,sh1_steam_pressure_bar,63
BLR-4,sh1_steam_inlet_t_c,288
BLR-4,sh1_steam_outlet_t_c,362
BLR-4,sh1_steam_flow_t_h,130
BLR-4,sh1_flue_inlet_t_c,745
BLR-4,sh1_flue_outlet_t_c,498
BLR-4,sh1_design_ua_kw_k,95
BLR-4,sh2_steam_pressure_bar,63
BLR-4,sh2_steam_inlet_t_c,362
BLR-4,sh2_steam_outlet_t_c,487
BLR-4,sh2_steam_flow_t_h,130
BLR-4,sh2_flue_inlet_t_c,1055
BLR-4,sh2_flue_outlet_t_c,745
BLR-4,sh2_design_ua_kw_k,75
BLR-4,desuperheater_water_t_c,140
BLR-4,desuperheater_steam_inlet_t_c,405
BLR-4,desuperheater_steam_outlet_t_c,362
BLR-4,aph_air_inlet_t_c,32
BLR-4,aph_air_outlet_t_c,208
BLR-4,aph_air_flow_nm3_h,93000
BLR-4,aph_air_cp_kj_kg_k,1.006
BLR-4,aph_air_density_kg_nm3,1.2
BLR-4,min_steam_flow_t_h,50
BLR-4,max_steam_flow_t_h,140
BLR-4,max_fuel_flow_nm3_h,10500
BLR-4,mass_balance_threshold_pct,2.0
BLR-4,energy_balance_threshold_pct,2.0
BLR-4,use_direct_efficiency,0.0
BLR-5,steam_flow_t_h,105
BLR-5,steam_pressure_bar,63
BLR-5,steam_temperature_c,478
BLR-5,feedwater_flow_t_h,109
BLR-5,feedwater_temperature_c,133
BLR-5,fuel_flow_nm3_h,7650
BLR-5,fuel_ch4_mol_pct,90.5
BLR-5,fuel_c2h6_mol_pct,4.8
BLR-5,fuel_c3h8_mol_pct,1.9
BLR-5,fuel_c4h10_mol_pct,0.4
BLR-5,fuel_h2_mol_pct,0.1
BLR-5,fuel_co_mol_pct,0.0
BLR-5,fuel_co2_mol_pct,1.3
BLR-5,fuel_n2_mol_pct,1.0
BLR-5,flue_o2_pct,5.0
BLR-5,stack_temperature_c,185
BLR-5,ambient_t_c,32
BLR-5,radiation_loss_pct,1.0
BLR-5,cbd_flow_m3_h,1.9
BLR-5,attemperator_spray_t_h,3.0
BLR-5,co2_emission_factor_kg_per_gj,56.1
BLR-5,eco_fw_inlet_t_c,133
BLR-5,eco_fw_outlet_t_c,188
BLR-5,eco_fw_cp_kj_kg_k,4.18
BLR-5,eco_flue_inlet_t_c,315
BLR-5,eco_flue_outlet_t_c,185
BLR-5,eco_design_ua_kw_k,160
BLR-5,sh1_steam_pressure_bar,63
BLR-5,sh1_steam_inlet_t_c,278
BLR-5,sh1_steam_outlet_t_c,350
BLR-5,sh1_steam_flow_t_h,105
BLR-5,sh1_flue_inlet_t_c,755
BLR-5,sh1_flue_outlet_t_c,505
BLR-5,sh1_design_ua_kw_k,95
BLR-5,sh2_steam_pressure_bar,63
BLR-5,sh2_steam_inlet_t_c,350
BLR-5,sh2_steam_outlet_t_c,478
BLR-5,sh2_steam_flow_t_h,105
BLR-5,sh2_flue_inlet_t_c,1045
BLR-5,sh2_flue_outlet_t_c,755
BLR-5,sh2_design_ua_kw_k,75
BLR-5,desuperheater_water_t_c,133
BLR-5,desuperheater_steam_inlet_t_c,388
BLR-5,desuperheater_steam_outlet_t_c,350
BLR-5,aph_air_inlet_t_c,32
BLR-5,aph_air_outlet_t_c,202
BLR-5,aph_air_flow_nm3_h,79000
BLR-5,aph_air_cp_kj_kg_k,1.006
BLR-5,aph_air_density_kg_nm3,1.2
BLR-5,min_steam_flow_t_h,50
BLR-5,max_steam_flow_t_h,140
BLR-5,max_fuel_flow_nm3_h,10500
BLR-5,mass_balance_threshold_pct,2.0
BLR-5,energy_balance_threshold_pct,2.0
BLR-5,use_direct_efficiency,0.0
BLR-6,steam_flow_t_h,122
BLR-6,steam_pressure_bar,63
BLR-6,steam_temperature_c,484
BLR-6,feedwater_flow_t_h,126
BLR-6,feedwater_temperature_c,139
BLR-6,fuel_flow_nm3_h,8500
BLR-6,fuel_ch4_mol_pct,90.5
BLR-6,fuel_c2h6_mol_pct,4.8
BLR-6,fuel_c3h8_mol_pct,1.9
BLR-6,fuel_c4h10_mol_pct,0.4
BLR-6,fuel_h2_mol_pct,0.1
BLR-6,fuel_co_mol_pct,0.0
BLR-6,fuel_co2_mol_pct,1.3
BLR-6,fuel_n2_mol_pct,1.0
BLR-6,flue_o2_pct,3.5
BLR-6,stack_temperature_c,172
BLR-6,ambient_t_c,32
BLR-6,radiation_loss_pct,0.9
BLR-6,cbd_flow_m3_h,2.3
BLR-6,attemperator_spray_t_h,4.8
BLR-6,co2_emission_factor_kg_per_gj,56.1
BLR-6,eco_fw_inlet_t_c,139
BLR-6,eco_fw_outlet_t_c,196
BLR-6,eco_fw_cp_kj_kg_k,4.18
BLR-6,eco_flue_inlet_t_c,312
BLR-6,eco_flue_outlet_t_c,172
BLR-6,eco_design_ua_kw_k,160
BLR-6,sh1_steam_pressure_bar,63
BLR-6,sh1_steam_inlet_t_c,287
BLR-6,sh1_steam_outlet_t_c,360
BLR-6,sh1_steam_flow_t_h,122
BLR-6,sh1_flue_inlet_t_c,748
BLR-6,sh1_flue_outlet_t_c,497
BLR-6,sh1_design_ua_kw_k,95
BLR-6,sh2_steam_pressure_bar,63
BLR-6,sh2_steam_inlet_t_c,360
BLR-6,sh2_steam_outlet_t_c,484
BLR-6,sh2_steam_flow_t_h,122
BLR-6,sh2_flue_inlet_t_c,1048
BLR-6,sh2_flue_outlet_t_c,748
BLR-6,sh2_design_ua_kw_k,75
BLR-6,desuperheater_water_t_c,139
BLR-6,desuperheater_steam_inlet_t_c,398
BLR-6,desuperheater_steam_outlet_t_c,360
BLR-6,aph_air_inlet_t_c,32
BLR-6,aph_air_outlet_t_c,207
BLR-6,aph_air_flow_nm3_h,87500
BLR-6,aph_air_cp_kj_kg_k,1.006
BLR-6,aph_air_density_kg_nm3,1.2
BLR-6,min_steam_flow_t_h,50
BLR-6,max_steam_flow_t_h,140
BLR-6,max_fuel_flow_nm3_h,10500
BLR-6,mass_balance_threshold_pct,2.0
BLR-6,energy_balance_threshold_pct,2.0
BLR-6,use_direct_efficiency,0.0
